micros,ax,ay
2396200,-0.0321,0.9143
2404251,0.0918,0.8796
2412209,0.2438,0.8259
2420262,0.4118,0.7595
2428222,0.5575,0.6887
2436254,0.6118,0.5602
2444201,0.6437,0.3635
2452260,0.7071,0.1238
2460208,0.7275,-0.0563
2468263,0.6804,-0.2261
2476225,0.6071,-0.5399
2484243,0.5182,-0.7688
2492213,0.4402,-0.8104
2500241,0.2489,-0.8781
2508198,0.0026,-0.9612
2516319,-0.2078,-0.9771
2524207,-0.4680,-0.8869
2532255,-0.8089,-0.7639
2540198,-0.8263,-0.6782
2548248,-0.8311,-0.4389
2556227,-0.9158,-0.0963
2564234,-0.9349,-0.0184
2572233,-0.9370,-0.0185
2580325,-0.9366,-0.0075
2588241,-0.9177,0.0720
2596196,-0.8730,0.2945
2604246,-0.7798,0.6693
2612195,-0.7097,0.7140
2620252,-0.5972,0.7500
2628192,-0.3262,0.8260
2636234,-0.1532,0.8853
2644185,-0.0404,0.9122
2652224,0.0628,0.8914
2660205,0.1846,0.8489
2668257,0.3353,0.7927
2676212,0.5403,0.7051
2684262,0.6178,0.5499
2692213,0.6643,0.2788
2700236,0.7400,-0.0065
2708187,0.7028,-0.1121
2716244,0.6371,-0.3515
2724190,0.5460,-0.7618
2732298,0.5044,-0.7726
2740193,0.4225,-0.8153
2748334,0.2409,-0.8764
2756229,0.0379,-0.9427
2764242,-0.1293,-0.9883
2772231,-0.3030,-0.9408
2780318,-0.5408,-0.8586
2788230,-0.8029,-0.7654
2796194,-0.8218,-0.6335
2804254,-0.8651,-0.3610
2812206,-0.9382,-0.0583
2820232,-0.9538,-0.0131
2828185,-0.9564,-0.0049
2836214,-0.9389,0.0654
2844193,-0.8937,0.2946
2852244,-0.7710,0.6913
2860179,-0.6785,0.7334
2868227,-0.5692,0.7635
2876183,-0.3683,0.8261
2884234,-0.1417,0.9027
2892179,-0.0364,0.9187
2900232,0.0651,0.8895
2908182,0.1994,0.8430
2916219,0.3795,0.7805
2924176,0.5693,0.6951
2932220,0.6106,0.5171
2940188,0.6714,0.2699
2948295,0.7393,0.0208
2956204,0.7226,-0.0813
2964185,0.6711,-0.2716
2972233,0.5982,-0.6062
2980340,0.4611,-0.8013
2988221,0.3199,-0.8578
2996174,0.1203,-0.9255
3004229,-0.1123,-0.9929
3012198,-0.2957,-0.9495
3020212,-0.5631,-0.8590
3028193,-0.8067,-0.7661
3036226,-0.8286,-0.6508
3044183,-0.8520,-0.4678
3052217,-0.9131,-0.1959
3060164,-0.9510,-0.0133
3068236,-0.9566,-0.0132
3076199,-0.9540,0.0112
3084236,-0.9120,0.1298
3092176,-0.8556,0.3937
3100218,-0.7541,0.7023
3108185,-0.6862,0.7231
3116214,-0.5261,0.7713
3124171,-0.2353,0.8582
3132287,-0.0528,0.9126
3140176,0.0801,0.8866
3148216,0.2404,0.8311
3156199,0.4332,0.7520
3164198,0.5665,0.6900
3172201,0.5967,0.5434
3180360,0.6331,0.3671
3188203,0.7003,0.1345
3196178,0.7329,-0.0210
3204262,0.7224,-0.0235
3212177,0.7122,-0.1071
3220228,0.6611,-0.3133
3228173,0.5956,-0.6106
3236225,0.5016,-0.7849
3244197,0.3865,-0.8337
3252237,0.1775,-0.9054
3260185,-0.0620,-0.9843
3268202,-0.2536,-0.9696
3276200,-0.4990,-0.8824
3284221,-0.8068,-0.7675
3292175,-0.8251,-0.6604
3300199,-0.8481,-0.4411
3308192,-0.9230,-0.1497
3316219,-0.9557,-0.0109
3324183,-0.9569,0.0004
3332214,-0.9230,0.1088
3340164,-0.8836,0.3288
3348209,-0.7615,0.7008
3356175,-0.6784,0.7349
3364179,-0.5490,0.7713
3372192,-0.3129,0.8436
3380311,-0.0810,0.9200
3388209,0.0224,0.9070
3396147,0.1625,0.8589
3404214,0.3313,0.8017
3412163,0.5362,0.7208
3420197,0.5886,0.6230
3428160,0.6333,0.3904
3436212,0.7048,0.1313
3444157,0.7282,-0.0360
3452213,0.6966,-0.1379
3460150,0.6408,-0.4039
3468186,0.5453,-0.7584
3476158,0.4723,-0.7916
3484205,0.3420,-0.8503
3492156,0.1388,-0.9188
3500209,-0.0961,-0.9914
3508151,-0.2487,-0.9647
3516188,-0.4731,-0.8844
3524157,-0.7762,-0.7804
3532201,-0.8075,-0.7419
3540156,-0.8211,-0.6016
3548275,-0.8562,-0.3951
3556191,-0.9076,-0.1491
3564184,-0.9449,-0.0119
3572179,-0.9495,-0.0034
3580293,-0.9196,0.0982
3588192,-0.8759,0.3152
3596157,-0.7359,0.6284
3604189,-0.4770,0.7985
3612145,-0.2237,0.8777
3620190,-0.0262,0.9230
3628140,0.1548,0.8633
3636223,0.3617,0.7909
3644148,0.5645,0.7031
3652201,0.5802,0.6395
3660144,0.6033,0.4869
3668908,0.6503,0.3340
3676234,0.7046,0.1368
3684246,0.7373,-0.0399
3692234,0.7048,-0.1510
3700243,0.6373,-0.4286
3708226,0.5009,-0.7838
3716213,0.3225,-0.8574
3724177,0.1176,-0.9267
3732171,-0.1130,-0.9923
3740150,-0.2338,-0.9684
3748287,-0.4508,-0.8905
3756163,-0.7437,-0.7879
3764162,-0.8034,-0.7619
3772157,-0.8058,-0.7090
3780361,-0.8071,-0.6337
3788176,-0.8282,-0.4590
3796137,-0.8753,-0.2635
3804210,-0.9325,-0.0596
3812142,-0.9523,-0.0049
3820186,-0.9272,0.0829
3828139,-0.8771,0.3379
3836184,-0.7326,0.7150
3844133,-0.5406,0.7708
3852188,-0.2700,0.8492
3860134,-0.0676,0.9179
3868183,0.0600,0.8932
3876161,0.2205,0.8381
3884178,0.4027,0.7684
3892168,0.5546,0.6975
3900175,0.5724,0.6669
3908130,0.5924,0.5502
3916163,0.6087,0.4467
3924127,0.6619,0.2956
3932178,0.7156,0.1018
3940136,0.7318,-0.0800
3948378,0.6802,-0.2717
3956140,0.5859,-0.6108
3964166,0.3875,-0.8322
3972166,0.1646,-0.9110
3980321,-0.1075,-0.9904
3988168,-0.3124,-0.9415
3996127,-0.5927,-0.8433
4004229,-0.8078,-0.7633
4012217,-0.8124,-0.6860
4020208,-0.8241,-0.5219
4028205,-0.8787,-0.2665
4036165,-0.9395,-0.0252
4044172,-0.9457,0.0026
4052191,-0.9049,0.1635
4060200,-0.8297,0.5237
4068207,-0.6928,0.7258
4076196,-0.5562,0.7655
4084196,-0.3266,0.8341
4092192,-0.1024,0.9152
4100192,0.0193,0.9075
4108156,0.1797,0.8531
4116160,0.3690,0.7884
4124137,0.5678,0.7007
4132181,0.6049,0.5462
4140154,0.6701,0.2940
4148348,0.7386,0.0373
4156149,0.7178,-0.1167
4164281,0.6628,-0.3411
4172161,0.5657,-0.7095
4180327,0.4226,-0.8150
4188162,0.2417,-0.8853
4196149,-0.0133,-0.9669
4204173,-0.2198,-0.9730
4212120,-0.4790,-0.8862
4220156,-0.8051,-0.7672
4228115,-0.8119,-0.7212
4236160,-0.8255,-0.5672
4244143,-0.8727,-0.3215
4252183,-0.9297,-0.0600
4260113,-0.9440,-0.0161
4268162,-0.9378,0.0276
4276158,-0.9006,0.2041
4284164,-0.8308,0.5240
4292138,-0.6880,0.7246
4300166,-0.4852,0.7767
4308122,-0.2417,0.8549
4316165,-0.0461,0.9131
4324114,0.1020,0.8826
4332142,0.2721,0.8201
